Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,,,,,,XREF
1,"J7",,IPBT-102-H1-XX-S-RA,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
1,"J6",,IPBT-103-H1-XX-S-RA,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
5,"J1, J2, J3, J4, J5",,JST-1X7,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
1,"JP1",,MOLEX-MICROUSB-B-105017-0001,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
1,"D2",,1206-DIODE,CD1206-B260,Bourns Inc.,DK,CD1206-B260CT-ND,Diode Schottky 60V 2A Surface Mount 1206,Chip, Concave Terminals,*,*,*,*,*,*
6,"Q1, Q2, Q3, Q4, Q5, Q6",,D2PAK,IRFS7530TRLPBF,Infineon Technologies,DK,IRFS7530TRLPBFCT-ND,N-Channel 60V 195A (Tc) 375W (Tc) Surface Mount D²PAK (TO-263AB),TO-263-7, D²Pak (6 Leads + Tab),*,*,*,*,*,*
2,"R48, R49",.001R,2726,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
2,"C1, C6",0.1uF,C0805,GRM21BR71E104KA01L,Murata Electronics North America,DK,490-1673-1-ND,CAP CER 0.1UF 25V 10% X7R 0805,0805 (2012 Metric),*,*,*,*,*,REF43
3,"R1, R13, R50",0k,R0805,ERJ-6GEY0R00V,Panasonic Electronic Components,DK,P0.0ACT-ND,RES SMD 0.0 OHM JUMPER 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R43",1M,R0805,ERJ-6ENF1004V,Panasonic Electronic Components,DK,P1.00MCCT-ND,RES 1M OHM 1/8W 1% 0805 SMD,0805 (2012 Metric),*,*,*,*,*,REF27
14,"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R30, R40",1k,R0805,RMCF0805FT1K00,Stackpole Electronics Inc.,DK,RMCF0805FT1K00CT-ND,RES SMD 1K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
7,"R6, R7, R8, R29, R32, R34, R36",2.2k,R0805,RMCF0805FT2K20,Stackpole Electronics Inc.,DK,RMCF0805FT2K20CT-ND,RES SMD 2.2K OHM 1% 1/8W 0805 ,0805 (2012 Metric),*,*,*,*,*,*
2,"C45, C46",2.2n,C0805,C2012C0G1H222J060AA,TDK Corporation,DK,445-7507-1-ND,CAP CER 2200PF 50V C0G 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"L1",2.2uH,0805,74479775222,Wurth Electronics Inc,DK,732-2953-1-ND,FIXED IND 2.2UH 700MA 230 MOHM,0805 (2012 Metric),*,*,*,*,*,*
17,"C10, C11, C12, C13, C14, C15, C17, C18, C19, C21, C22, C23, C24, C25, C26, C29, C30",2.2uf,C0805,UMK212BB7225KG-T,Taiyo Yuden,DK,587-3169-1-ND,CAP CER 2.2UF 50V X7R 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R38",3K3,R0805,RMCF0805FT3K30,Stackpole Electronics Inc.,DK,RMCF0805FT3K30CT-ND,RES SMD 3.3K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
6,"R51, R52, R54, R55, R57, R58",4.7R,R0805,ERJ-6RQF4R7V,Panasonic Electronic Components,DK,P4.7DCT-ND,RES SMD 4.7 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"C20",4.7uF,C0805,GRM21BR61E475KA12L,Murata Electronics North America,DK,490-3335-1-ND,CAP CER 4.7UF 25V X5R 0805,0805 (2012 Metric),*,*,*,*,*,*
4,"C2, C3, C4, C5",4n7,C0805,GRM2165C1H472FA01D,Murata Electronics North America,DK,490-8288-1-ND,CAP CER 4700PF 50V C0G/NP0 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"C31",6.8n,C0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"Y1",8MHz,4-SMD,ABM3B-8.000MHZ-10-1-U-T,Abracon LLC,DK,535-9721-1-ND,8MHz ±10ppm Crystal 10pF 200 Ohm -10°C ~ 60°C  Surface Mount 4-SMD, No Lead,4-SMD, No Lead,*,*,*,*,*,*
1,"R27",10K,R0805,ERJ-6ENF1002V,Panasonic Electronic Components,DK,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R26",10K,0603,NCP18XH103F03RB,Murata Electronics North America,DK,490-4800-1-ND,NTC Thermistor 10k 0603 (1608 Metric),0603 (1608 Metric),*,*,*,*,*,*
5,"R9, R10, R11, R12, R39",10k,R0805,ERJ-6ENF1002V,Panasonic Electronic Components,DK,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"C28",10uF,C0805,TMK212BBJ106KG-T,Taiyo Yuden,DK,587-2985-1-ND,CAP CER 10UF 25V X5R 0805,0805 (2012 Metric),*,*,*,*,*,*
8,"C34, C35, C36, C40, C41, C42, C47, C49",10uf,50V,C1206,C3216JB1H106K160AB,TDK Corporation,DK,445-11722-1-ND,CAP CER 10UF 50V 10% JB 1206,1206 (3216 Metric),*,*,*,*,*,REF7
1,"R42",15K,R0805,RMCF0805FT15K0,Stackpole Electronics Inc.,DK,RMCF0805FT15K0CT-ND,RES SMD 15K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
2,"C33, C43",15UF,100V,K-55,KCM55WR72A156MH01K,Murata Electronics North America,DK,490-5838-1-ND, CAP CER 15UF 100V X7R SMD ,Stacked SMD, 2 J-Lead,*,*,*,*,*,*
2,"C7, C8",15p,C0805,CL21C150JBANNNC,Samsung Electro-Mechanics America Inc,DK,1276-1163-1-ND,CAP CER 15PF 50V 5% NP0 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R37",18K,R0805,ERJ-6ENF1802V,Panasonic Electronic Components,DK,P18.0KCCT-ND,18k Ohm ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film,0805 (2012 Metric),*,*,*,*,*,*
2,"R3, R4",22R,R0805,RMCF0805FT22R0,Stackpole Electronics Inc.,DK,RMCF0805FT22R0CT-ND,RES SMD 22 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"L2",22UH,TYS5040220M-10,TYS5040220M-10,Laird-Signal Integrity Products,DK,240-2713-1-ND,FIXED IND 22UH 1.5A 129 MOHM SMD,Nonstandard,*,*,*,*,*,*
1,"C27",22n,C0805,C2012C0G1H223J125AA,TDK Corporation,DK,445-7522-1-ND,CAP CER 0.022UF 50V 5% C0G 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R28",39K,R0805,ERJ-6ENF3902V,Panasonic Electronic Components,DK,P39.0KCCT-ND,RES SMD 39K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
6,"R31, R33, R35, R53, R56, R59",39k,R0805,ERJ-6ENF3902V,Panasonic Electronic Components,DK,P39.0KCCT-ND,RES SMD 39K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
4,"R44, R45, R46, R47",100R,R0805,ERJ-6ENF1000V,Panasonic Electronic Components,DK,P100CCT-ND,RES SMD 100 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
3,"C9, C16, C44",100n,C0805,08053C104KAT2A,AVX Corporation,DK,478-3755-1-ND,CAP CER 0.1UF 25V 10% X7R 0805,0805 (2012 Metric),*,*,*,*,*,REF1
1,"C48",100uf,C0805,GRM21BR60G107ME15L,Murata Electronics North America,DK,490-10510-1-ND,CAP CER 100UF 4V X5R 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R5",120R,R0805,ERJ-6ENF1200V,Panasonic Electronic Components,DK,P120CCT-ND,RES SMD 120 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"C32",120pf,C0805,08051A121FAT2A,AVX Corporation,DK,478-10372-1-ND,CAP CER 120PF 100V NP0 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R41",220K,R0805,ERJ-6ENF2203V,Panasonic Electronic Components,DK,P220KCCT-ND,220k Ohm ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film,0805 (2012 Metric),*,*,*,*,*,*
3,"C37, C38, C39",220n,C0805,GRM219R71C224KA01D,Murata Electronics North America,DK,490-1684-1-ND,CAP CER 0.22UF 16V X7R 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"D1",568-6471-1-ND,SOT-23_DIODE,SMF5.0A,Littelfuse Inc.,DK,F5748CT-ND,TVS DIODE 5VWM 9.2VC SOD123,SOD-123F,*,*,*,*,*,*
1,"R2",DNP,R0805,ERJ-6GEY0R00V,Panasonic Electronic Components,DK,P0.0ACT-ND,RES SMD 0.0 OHM JUMPER 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"U4",DRV8302,HTSSOP-56,DRV8302DCA,Texas Instruments,DK,296-33275-5-ND,Motor Driver Power MOSFET Parallel 56-HTSSOP,56-TFSOP (0.240", 6.10mm Width) Exposed Pad,*,*,*,*,*,*
4,"LED1, LED2, LED5, LED6",GREEN,CHIP-LED0805,598-8170-107F,Dialight,DK,350-2044-1-ND,LED GREEN CLEAR 0805 SMD,0805 (2012 Metric),*,*,*,*,*,*
1,"U3",LM3671MF-3.3/NOPB,SOT23-5,LM3671MF-3.3/NOPB,Texas Instruments,DK,LM3671MF-3.3/NOPBCT-ND,IC REG BUCK 3.3V 0.6A SYNC SOT23,SC-74A, SOT-753,*,*,*,*,*,*
1,"U1",MCP2562,SOIC8-N_MC,MCP2562FD-E/SN,Microchip Technology,DK,MCP2562FD-E/SN-ND,IC TXRX CAN HIGH SPEED VIO 8SOIC,8-SOIC (0.154", 3.90mm Width),*,*,*,*,*,*
2,"LED3, LED4",RED,CHIP-LED0805,5988110107F,Dialight,DK,350-2038-1-ND,LED CHIP RED CLEAR 0805 SMD,0805 (2012 Metric),*,*,*,*,*,*
1,"U2",STM32F405RGT6,LQFP-64,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
